Age,NumOfProducts,CreditScore,RowNumber,EstimatedSalary,Balance,CustomerId,Surname,Exited
32,2,596,6253,41788.37,96709.07,15687492,Anderson,0
43,2,623,4685,146379.3,0.0,15736963,Herring,0
44,2,601,1732,58561.31,0.0,15721730,Amechi,0
59,2,506,4743,170679.74,119152.1,15762134,Liang,0
27,1,560,4522,114669.79,124995.98,15648898,Chuang,0
37,2,790,6341,149418.41,0.0,15659064,Salas,0
32,1,439,577,75685.97,138901.61,15761986,Obialo,0
22,1,597,5203,70529.0,101528.61,15713354,Morrice,1
40,1,678,6364,16618.76,113794.22,15593454,Lambert,0
42,1,464,440,164104.74,85679.25,15690134,Hughes,0
57,3,481,2751,169719.35,0.0,15767474,Lorenzo,1
56,1,651,7488,84383.22,0.0,15785367,McGuffog,1
47,1,850,5273,187391.02,0.0,15587507,Feng,1
41,1,687,5654,158408.23,154007.21,15569764,Garner,0
19,1,696,4000,2766.63,110928.51,15665062,Lucchese,0
36,2,612,6034,159416.58,119799.27,15759966,Chiemenam,0
57,2,586,583,6057.81,0.0,15576352,Revell,0
40,2,425,9931,172646.88,166776.6,15713604,Rossi,0
43,2,643,7052,145764.4,0.0,15596797,Barnet,0
37,2,641,8159,3939.87,0.0,15744127,Kosovich,0
40,1,795,9897,183044.86,101891.1,15589420,Osinachi,0
35,2,762,2250,43075.7,0.0,15727546,Olejuru,0
44,2,687,4641,103042.2,0.0,15696373,Gill,1
37,1,850,9486,109659.12,88141.1,15656319,Toscano,0
62,2,753,4948,136398.9,0.0,15670354,Jen,0
49,1,678,9921,738.88,204510.94,15673020,Smith,1
34,2,578,1964,66680.77,147487.23,15771139,Douglas,0
29,2,825,8244,71192.82,148874.01,15572174,Mazzi,0
30,2,696,6591,9002.8,0.0,15674868,Wei,0
40,2,457,8848,150757.35,134320.23,15630244,Chu,0
30,1,680,322,16278.97,141441.75,15678910,Ts'ai,0
38,2,819,2679,30498.7,0.0,15767793,Hsu,0
45,2,510,4626,77878.62,103821.47,15695499,Chinwemma,0
36,2,567,4950,8555.73,0.0,15786717,He,0
34,1,638,8329,102179.86,146679.77,15687171,Birch,0
56,1,579,3338,4523.74,99340.83,15647385,Ch'iu,1
37,1,715,5590,143096.49,105489.31,15588372,Kirsova,1
34,2,587,252,97932.68,0.0,15753754,Morrison,0
38,1,711,3974,114793.45,128718.78,15669281,Ch'iu,0
36,2,741,6631,89804.83,0.0,15726960,O'Brien,0
38,1,688,5548,175479.92,148045.68,15713845,Merrett,1
45,1,475,36,27822.99,134264.04,15794171,Lombardo,1
36,2,567,8363,3896.08,0.0,15751912,Lilly,0
42,2,440,1514,49826.68,0.0,15729040,Lamb,0
42,1,741,9318,194686.78,106036.52,15585249,Mironova,1
41,2,582,40,178074.04,70349.48,15585768,Cameron,0
26,1,613,4820,149653.81,100446.57,15683157,Waring,0
43,2,692,3466,164621.43,69014.49,15763704,Docherty,0
38,1,521,1761,136507.69,110641.18,15701121,Holt,1
35,1,759,2305,106785.7,147936.42,15680141,Yuan,0
42,2,715,3724,21333.22,88120.97,15710978,Palerma,0
39,1,711,8285,90305.97,152462.79,15701741,Williams,0
44,1,554,4994,126033.9,92436.86,15728912,Swanson,0
35,1,651,8128,127678.95,110067.71,15623063,Taylor,1
45,3,495,3033,135169.76,89158.94,15800061,Moretti,1
39,1,805,7939,166650.32,0.0,15807305,Watkins,0
26,2,829,3040,19324.5,101440.36,15666141,Baldwin,0
40,2,583,9656,26920.43,55776.39,15668971,Nicholson,0
43,1,686,2546,170072.9,0.0,15687130,Nkemjika,0
40,2,505,2593,155061.97,47869.69,15658956,Tuan,0
30,2,528,1189,50771.16,128262.72,15639882,She,0
34,2,677,7967,6175.53,0.0,15750574,Lumholtz,0
37,1,660,6078,71433.88,133200.09,15738588,Nebechi,0
36,1,785,108,36976.52,99806.85,15812878,Parsons,0
27,1,607,1316,7631.27,100912.19,15734634,Bocharova,0
39,2,603,8188,54702.66,162390.52,15771674,Ma,0
28,2,480,2754,48131.92,0.0,15774491,Ross,0
68,1,656,9754,186574.68,153545.11,15705174,Chiedozie,0
48,1,631,6232,150661.42,106396.48,15729238,Peng,1
35,1,604,2877,57807.05,147285.52,15585284,Thomson,0
32,1,622,5324,149043.78,179305.09,15569264,Yobanna,0
42,1,601,800,103315.74,133636.16,15567367,Tao,0
46,1,674,3571,90189.72,174701.05,15706005,Roberts,1
31,1,531,2895,42589.33,0.0,15644119,Sochima,0
32,1,632,2928,170382.99,111589.33,15669656,Macdonald,0
46,2,707,8179,146011.55,127476.73,15809654,Hsia,0
25,2,723,972,134509.47,0.0,15801488,Buckner,0
38,2,795,6688,127068.92,125903.22,15662908,Davidson,0
45,2,585,8576,189683.7,0.0,15690175,Ball,0
30,1,627,2021,188258.49,57809.32,15565779,Kent,0
30,2,546,9055,198543.09,0.0,15617476,Manfrin,0
66,1,571,953,189271.9,111577.01,15606149,Wood,0
42,1,684,5360,23135.65,117691.0,15801832,Lombardo,1
45,1,636,3858,108402.54,139859.23,15805025,Oster,0
48,1,562,5862,163116.75,92347.96,15713819,Walsh,0
48,1,482,3146,102640.52,69329.47,15775590,Mackay,1
62,1,786,3306,165702.64,0.0,15574072,Ch'ien,0
45,1,747,3007,189362.39,114959.12,15720943,Pirozzi,1
32,1,688,9002,138759.15,124179.3,15733111,Yeh,0
29,1,699,7771,151623.71,125689.29,15809509,Venables,0
32,2,528,7439,156192.43,85615.66,15676156,Boyle,0
42,1,542,7943,178256.58,0.0,15661409,Shen,1
50,2,773,9239,129372.94,0.0,15639133,Ku,0
33,2,675,1057,45348.08,0.0,15798521,Tai,0
51,2,652,3155,43496.36,0.0,15609637,Nkemakolam,0
27,1,638,3788,186523.72,135096.05,15644174,Marchesi,1
32,2,607,9190,176580.63,144272.07,15793723,Ch'iu,0
23,2,594,7826,56756.52,104753.84,15802758,Chinwendu,1
42,1,755,7540,156868.21,119919.12,15609987,Smith,0
40,1,555,7232,105720.09,139930.18,15607986,Nnamutaezinwa,0
43,3,710,765,157908.19,140080.32,15672056,Kenenna,1
53,1,823,5020,131259.6,124954.94,15584113,Pratt,1
42,2,694,4904,88890.75,156864.2,15628530,Booth,0
47,2,584,8094,89286.29,0.0,15779267,Onyemere,0
33,1,740,6844,123300.38,129574.98,15611171,Fowler,0
33,2,511,2166,158313.87,0.0,15585041,Ainsworth,0
44,1,481,1863,65500.53,175303.06,15726494,Romani,1
36,2,488,7851,136675.22,0.0,15679663,Chiazagomekpere,0
33,1,718,9124,117841.06,102874.28,15679029,Kung,0
41,1,523,2341,122284.38,119276.31,15595728,Thomas,1
38,1,698,5528,41595.3,130015.24,15689602,Findlay,0
51,1,555,6744,198715.27,138214.5,15616213,Levy,1
26,2,750,4004,19921.72,151510.17,15626141,Fedorov,0
33,1,779,1124,197000.92,158456.76,15596800,Hill,1
39,2,529,8710,12351.01,102025.08,15713517,Otitodilinna,0
33,2,618,4050,77550.18,0.0,15806184,Burns,0
34,1,790,7641,199420.41,164011.48,15572361,Chill,0
27,1,710,766,142200.15,135277.96,15812351,Beluchi,0
49,1,714,2345,7571.51,93059.34,15642345,Y?,1
54,1,850,4072,66963.15,120952.74,15732430,H?,0
41,3,679,7217,172749.4,147726.98,15730287,Ugonna,1
56,1,794,4217,71776.76,96951.21,15718852,Uren,0
33,2,746,7953,146192.4,107868.14,15622305,Martin,0
35,1,470,5971,5962.3,96473.59,15634295,Wilson,0
35,2,670,3351,84321.03,124268.64,15685628,Calabresi,0
37,1,669,4696,162260.93,125529.55,15786739,Clements,0
31,1,628,3400,113167.17,175443.75,15633352,Okwukwe,1
33,2,721,4082,117626.9,0.0,15762821,Udinese,0
43,2,597,9150,55809.92,119127.46,15814331,Lung,0
47,1,500,1225,179227.12,128486.11,15628298,Johnstone,0
33,1,494,6293,90273.85,137853.0,15713673,T'ien,0
29,1,676,3123,36221.18,140720.93,15575002,Ferguson,0
31,2,524,511,161811.23,67238.98,15568506,Forbes,0
57,2,669,5795,56875.76,0.0,15694125,McElhone,0
28,2,598,8182,46041.08,129991.76,15566790,McIntyre,0
33,2,577,9418,57975.8,0.0,15656829,Hughes,0
41,1,773,97,64595.25,102827.44,15738721,Graham,0
31,1,602,6682,179446.31,155271.83,15736717,Ma,0
39,2,656,1513,98894.64,0.0,15586974,Pearce,0
25,2,725,8792,168607.74,0.0,15783276,Forbes,0
34,2,699,120,120834.48,185173.81,15600781,Wu,0
